,Word,Count
882,smoke,26
883,7,26
884,loool,26
885,bio,26
886,card,26
887,able,26
888,lool,26
889,jank,26
890,wonder,26
891,forget,26
892,worth,26
893,JP,26
894,seems,26
895,perish,26
896,album,26
897,server,26
898,married,26
899,business,26
900,whether,26
901,😂😂,26
902,talked,25
903,exactly,25
904,piece,25
905,drop,25
906,band,25
907,scenes,25
908,knows,25
909,realised,25
910,How's,25
911,side,25
912,annoying,25
913,outside,25
914,bonk,25
915,choice,25
916,move,25
917,crazy,25
918,team,25
919,drive,25
920,2h,25
921,noooo,25
922,phoebe,25
923,upset,25
924,...,25
925,squishy,25
926,NO,25
927,sense,25
928,group,25
929,care,25
930,naaa,25
931,lolol,25
932,dropped,25
933,nut,25
934,thicc,24
935,it?,24
936,personal,24
937,you'd,24
938,😀😀😀😀,24
939,general,24
940,loud,24
941,texting,24
942,notes,24
943,"yea,",24
944,11,24
945,nooo,24
946,afterall,24
947,stuck,24
948,streaming,24
949,mum:,24
950,she'll,24
951,grades,24
952,Nice,24
953,terrible,24
954,imo,24
955,touch,24
956,awake,24
957,ones,24
958,glad,24
959,🥵🥵🥵,24
960,eyes,24
961,lowkey,24
962,uhh,24
963,bored,24
964,electric,24
965,hentai,24
966,lose,23
967,giving,23
968,mood,23
969,irl,23
970,YE,23
971,🤔🤔,23
972,😂😂😂,23
973,wear,23
974,t,23
975,extra,23
976,heat,23
977,cards,23
978,happens,23
979,beat,23
980,lmaO,23
981,brooo,23
982,:33,23
983,switch,23
984,top,23
985,island,23
986,lil,23
987,bebby,23
988,seconds,23
989,aren't,23
990,link,23
991,killed,23
992,genshin,23
993,kids,23
994,plot,23
995,gives,23
996,uhm,23
997,breakfast,23
998,fucking,23
999,enjoy,23
1000,embarrassing,23
1001,lyrics,23
1002,fast,23
1003,near,23
1004,cannot,23
1005,kaoru,22
1006,brother's,22
1007,cbb,22
1008,'I,22
1009,prelims,22
1010,gone,22
1011,didnt,22
1012,giant,22
1013,steal,22
1014,earlier,22
1015,chorus,22
1016,months,22
1017,walking,22
1018,kid,22
1019,"shit,",22
1020,parents,22
1021,possible,22
1022,pics,22
1023,fanfic,22
1024,busy,22
1025,nearly,22
1026,short,22
1027,fail,22
1028,account,22
1029,taste,22
1030,u?,22
1031,ame,22
1032,aisha,22
1033,along,22
1034,you've,22
1035,pain,22
1036,where's,22
1037,tho?,22
1038,Oh,22
1039,😭😭😭,22
1040,jianer,22
1041,leon:,21
1042,lololo,21
1043,hes,21
1044,perfect,21
1045,close,21
1046,plan,21
1047,despite,21
1048,asmr,21
1049,chu2,21
1050,behind,21
1051,dead,21
1052,edgy,21
1053,series,21
1054,"time,",21
1055,😃,21
1056,sweat,21
1057,thoughts,21
1058,honey,21
1059,hands,21
1060,area,21
1061,periods,21
1062,omega,21
1063,mouth,21
1064,thinks,21
1065,patched,21
1066,sex,21
1067,upload,21
1068,"anyway,",21
1069,tiddies,21
1070,😳💦💦💦,21
1071,screen,21
1072,cried,21
1073,catch,21
1074,they'll,21
1075,expect,21
1076,pron,21
1077,aura,21
1078,100%,21
1079,supposed,21
1080,depends,21
1081,whenever,21
1082,yukina,21
1083,apple,21
1084,damn,21
1085,changed,21
1086,ps4,20
1087,history,20
1088,keeps,20
1089,me?,20
1090,osci,20
1091,spend,20
1092,lmaoooo,20
1093,goodbye,20
1094,tea,20
1095,"her,",20
1096,hold,20
1097,awww,20
1098,bred,20
1099,30m,20
1100,"okay,",20
1101,🙂,20
1102,dude,20
1103,chemistry,20
1104,written,20
1105,100000%,20
1106,afro,20
1107,???,20
1108,online,20
1109,meme,20
1110,hi,20
1111,"shy,",20
1112,totally,20
1113,maybey,20
1114,deadass,20
1115,jhin,20
1116,comment,20
1117,vc,20
1118,10000%,20
1119,weak,20
1120,'ye,20
1121,collab,20
1122,takes,20
1123,favourite,20
1124,plez,20
1125,🥺🥺🥺👉👈,20
1126,🙂🙂🙂🙂,20
1127,salt,20
1128,ep,20
1129,:OO,20
1130,speaking,19
1131,insta,19
1132,rice,19
1133,original,19
1134,:OOO,19
1135,😍😍,19
1136,😍😍😍😍,19
1137,happen,19
1138,argument,19
1139,fell,19
1140,flat,19
1141,tomoe,19
1142,needed,19
1143,👀💦💦,19
1144,D,19
1145,aaaa,19
1146,failed,19
1147,uhhh,19
1148,rules,19
1149,decided,19
1150,LEON,19
1151,hopefully,19
1152,9,19
1153,shitty,19
1154,space,19
1155,10m,19
1156,bang,19
1157,clear,19
1158,between,19
1159,ticket,19
1160,enthalpy,19
1161,gf,19
1162,gen,19
1163,vid,19
1164,several,19
1165,spent,19
1166,deep,19
1167,dating,19
1168,results,19
1169,Thom,19
1170,Idk,19
1171,mcrn,18
1172,solo,18
1173,rip,18
1174,tbf,18
1175,TV,18
1176,:DDDD,18
1177,getcha,18
1178,tsugu,18
1179,stopped,18
1180,male,18
1181,how's,18
1182,must,18
1183,IS,18
1184,worse,18
1185,kira,18
1186,thank,18
1187,twice,18
1188,mentioned,18
1189,blame,18
1190,pop,18
1191,giga,18
1192,goooo,18
1193,asian,18
1194,SO,18
1195,single,18
1196,yea?,18
1197,nvm,18
1198,mice,18
1199,front,18
1200,shopping,18
1201,bigger,18
1202,skin,18
1203,excited,18
1204,party,18
1205,compared,18
1206,hates,18
1207,door,18
1208,listened,18
1209,fc,18
1210,'u,18
1211,running,18
1212,waste,18
1213,issue,18
1214,hey,18
1215,hug,17
1216,esp,17
1217,"tbh,",17
1218,broken,17
1219,allowed,17
1220,loved,17
1221,leaving,17
1222,legit,17
1223,rhythm,17
1224,calli,17
1225,Cameron,17
1226,number,17
1227,😋😋😋,17
1228,everytime,17
1229,effort,17
1230,idrk,17
1231,:)',17
1232,statement,17
1233,low,17
1234,calls,17
1235,pc,17
1236,dreamt,17
1237,marry,17
1238,comfy,17
1239,icbb,17
1240,burn,17
1241,nudes,17
1242,living,17
1243,seriously,17
1244,hasn't,17
1245,birthday,17
1246,I'M,17
1247,polar,17
1248,fic,17
1249,clearly,17
1250,typing,17
1251,'why,17
1252,overwatch,17
1253,relationships,17
1254,'haha,17
1255,blood,17
1256,save,17
1257,pronhub,17
1258,turnips,17
1259,herself,17
1260,eye,17
1261,wearing,17
1262,terms,17
1263,It,17
1264,exams,17
1265,27,17
1266,liking,17
1267,picture,17
1268,learning,17
1269,dies,17
1270,true,17
1271,wasted,17
1272,dk,17
1273,really?,17
1274,it’s,17
1275,"like,,",17
1276,😎😎,17
1277,AND,17
1278,"now,",17
1279,coke,17
1280,toll,17
1281,vids,17
1282,val's,17
1283,studying,17
1284,speed,17
1285,stomach,16
1286,smut,16
1287,s,16
1288,talks,16
1289,realise,16
1290,mute,16
1291,chisato,16
1292,lewd,16
1293,looool,16
1294,worst,16
1295,sekai,16
1296,messages,16
1297,weren't,16
1298,🤡,16
1299,ha2n,16
1300,men,16
1301,90%,16
1302,bowl,16
1303,middle,16
1304,exist,16
1305,gates,16
1306,ship,16
1307,channel,16
1308,forward,16
1309,cat,16
1310,4*,16
1311,racist,16
1312,creepy,16
1313,smoking,16
1314,aww,16
1315,piano,16
1316,squish,16
1317,spider,16
1318,"school,",16
1319,ugh,16
1320,wont,16
1321,she'd,16
1322,gimme,16
1323,"idk,",16
1324,update,16
1325,ME,16
1326,gamer,16
1327,2d,16
1328,😴😴😴,16
1329,content,16
1330,line,15
1331,"day,",15
1332,edit,15
1333,>:(',15
1334,force,15
1335,clean,15
1336,bs,15
1337,child,15
1338,seem,15
1339,age,15
1340,fix,15
1341,hoe,15
1342,feelings,15
1343,morrisons,15
1344,paragraph,15
1345,turned,15
1346,slow,15
1347,rats,15
1348,"up,",15
1349,genuinely,15
1350,stick,15
1351,letter,15
1352,ends,15
1353,bloom,15
1354,buying,15
1355,chill,15
1356,physically,15
1357,The,15
1358,wife,15
1359,expensive,15
1360,kick,15
1361,legs,15
1362,strings,15
1363,cousins,15
1364,🥺🥺👉👈,15
1365,sitting,15
1366,hole,15
1367,bully,15
1368,overrated,15
1369,ringing,15
1370,social,15
1371,afterwards,15
1372,normally,15
1373,weeks,15
1374,ignore,15
1375,liberton,15
1376,future,15
1377,sasanqua,15
1378,note,15
1379,'yea,15
1380,THE,15
1381,belle,15
1382,star,15
1383,mask,15
1384,....,15
1385,sake,15
1386,??,15
1387,🙂🙂,15
1388,forever,15
1389,crush,15
1390,no.,15
1391,tasty,15
1392,count,15
1393,"again,",15
1394,showed,15
1395,against,15
1396,Andrea,15
1397,disappearance,15
1398,fan,15
1399,overall,15
1400,red,15
1401,havent,15
1402,intro,15
1403,China,15
1404,box,15
1405,"thing,",15
1406,roselia,15
1407,ammirite,14
1408,gooo,14
1409,interesting,14
1410,obsessed,14
1411,MY,14
1412,chat,14
1413,obvs,14
1414,As,14
1415,sum,14
1416,stars,14
1417,mum's,14
1418,"them,",14
1419,order,14
1420,TO,14
1421,"good,",14
1422,month,14
1423,disgusting,14
1424,kasumi,14
1425,val:,14
1426,minute,14
1427,dad's,14
1428,cake,14
1429,minutes,14
1430,fault,14
1431,studied,14
1432,oof,14
