0,0,0
Leon,08/07/2020,is there some kind of
Leon,08/07/2020,frying pan oppression
Leon,08/07/2020,nop
Leon,08/07/2020,ako
Leon,08/07/2020,is in s4
Leon,08/07/2020,isn't she?
Leon,08/07/2020,she's first year high school
Leon,08/07/2020,o
Leon,08/07/2020,i think
Leon,08/07/2020,o
Leon,08/07/2020,yea that's it
Leon,08/07/2020,cos season 3
Leon,08/07/2020,didn't move to the next year
Leon,08/07/2020,so they should all be older than u
Leon,08/07/2020,but like
Leon,08/07/2020,they aren't
Leon,08/07/2020,cos the year hasn't passed yet
Leon,08/07/2020,so technically u are still older than ako
Leon,08/07/2020,yea
Leon,08/07/2020,lmao
Leon,08/07/2020,cos
Leon,08/07/2020,in game year doesn't correlate to irl year
Leon,08/07/2020,so in bandori universe it's still 2019
Leon,08/07/2020,or idk
Leon,08/07/2020,tbh
Leon,08/07/2020,lmao its confusing
Leon,08/07/2020,o ye xdd
Leon,08/07/2020,o no
Leon,08/07/2020,lmao
Leon,08/07/2020,idk what to put
Leon,08/07/2020,
Leon,08/07/2020,also idk anything about morfonica
Leon,08/07/2020,lol
Leon,08/07/2020,
Leon,08/07/2020,ok idk this is what i got so far
Leon,08/07/2020,
Leon,08/07/2020,i have dinner rn
Leon,08/07/2020,lmk what else i left out
Leon,08/07/2020,ok well i'm back already
Leon,08/07/2020,lol
Leon,08/07/2020,o okay xdd
Leon,08/07/2020,o
Leon,08/07/2020,why lol
Leon,08/07/2020,to shuffle? lol
Leon,08/07/2020,o xd
Leon,08/07/2020,o yE the calluses on ur hand really help with shuffling cards
Leon,08/07/2020,wha
Leon,08/07/2020,what am i trying to say
Leon,08/07/2020,i was just being sarcastic cos u said u get privileges shuffling cards cos u play guitar
Leon,08/07/2020,what's a thrift store lol
Leon,08/07/2020,o
Leon,08/07/2020,ok lol
Leon,08/07/2020,i've never heard it called thrift store
Leon,08/07/2020,can u even go to thrift stores tho
Leon,08/07/2020,cos corona
Leon,08/07/2020,o
Leon,08/07/2020,yea that's what I hear too xd
Leon,08/07/2020,charity shop
Leon,08/07/2020,o
Leon,08/07/2020,nice xd
Leon,08/07/2020,o how come
Leon,08/07/2020,so they come more or less
Leon,08/07/2020,o
Leon,08/07/2020,ok
Leon,08/07/2020,well I got 2 campsite villagers
Leon,08/07/2020,olive
Leon,08/07/2020,and some piggy
Leon,08/07/2020,o xddd
Leon,08/07/2020,
Leon,08/07/2020,yea it was that guy xd
Leon,08/07/2020,kristii
Leon,08/07/2020,wanna play minecraft
Leon,08/07/2020,o ok lol
Leon,08/07/2020,o yea
Leon,08/07/2020,https://tiermaker.com/create/bandori-ships-tier-list-491450
Leon,08/07/2020,TierMaker
Leon,08/07/2020,Create a bandori ships Tier List
Leon,08/07/2020,everyone is gay
Leon,08/07/2020,
Leon,08/07/2020,o btw some of them are joke ships
Leon,08/07/2020,o
Leon,08/07/2020,why
Leon,08/07/2020,daijoubu desuka
Leon,08/07/2020,o
Leon,08/07/2020,xddd
Leon,08/07/2020,if u lose enough times she will just move in anyways
Leon,08/07/2020,ye
Leon,08/07/2020,also just close the game and reopen if the villager that's moving out is one u like
Leon,08/07/2020,ya just close and reopen without finishing the dialogue
Leon,08/07/2020,o
Leon,08/07/2020,well that works too ig xdd
Leon,08/07/2020,o lol
Leon,08/07/2020,yea i wouldn't exchange my original villagers lol
Leon,08/07/2020,but its up to u its ur island
Leon,08/07/2020,o lool
Leon,08/07/2020,o lmaooo
Leon,08/07/2020,she hates it at ur island xdd
Leon,08/07/2020,can't believe ur such a bully kristi
Leon,08/07/2020,dam
Leon,08/07/2020,euphoria hell
Leon,08/07/2020,o wow those eyes
Leon,08/07/2020,are like :eye: :lips: :eye:
Leon,08/07/2020,what's a beauty mark
Leon,08/07/2020,a what
Leon,08/07/2020,mole
Leon,08/07/2020,the animal?
Leon,08/07/2020,??
Leon,08/07/2020,o
Leon,08/07/2020,wait no
Leon,08/07/2020,no ik what a mole is
Leon,08/07/2020,sh
Leon,08/07/2020,why's it not called a mole tho
Leon,08/07/2020,if it's a beauty mark
Leon,08/07/2020,or is that just sugar coating it
Leon,08/07/2020,and its just a mole
Leon,08/07/2020,lol
Leon,08/07/2020,o
Leon,08/07/2020,ok
Leon,08/07/2020,i gotchu
Leon,08/07/2020,yea okay xdd
Leon,08/07/2020,o yE
Leon,08/07/2020,yea ok
Leon,08/07/2020,xddd
Leon,08/07/2020,o
Leon,08/07/2020,u should look up card shuffle tutorial on youtube
Leon,08/07/2020,its a tier list
Leon,08/07/2020,u drag it into the tiers
Leon,08/07/2020,by dragging it
Leon,08/07/2020,the ship
Leon,08/07/2020,
Leon,08/07/2020,o
Leon,08/07/2020,idk maybe a mobile thing
Leon,08/07/2020,do u want me to screen share and then u tell me where to put stuff
Leon,08/07/2020,lol
Leon,08/07/2020,wow u are certified lazy
Leon,08/07/2020,lazy™️
Leon,08/07/2020,xdd
Leon,08/07/2020,wait whata
Leon,08/07/2020,what's sabboth
Leon,08/07/2020,does it
Leon,08/07/2020,o
Leon,08/07/2020,yea ok ik what sabbath is
Leon,08/07/2020,idk what sabboth is tho xdd
Leon,08/07/2020,ur a typo
